topic,entity,baseline,forecast,risk,impact,notes
wastewise,Chicken Rice,180,162,medium,HKD 420 saved,"Rain and exam week reduce expected lunch traffic"
wastewise,Noodle Bowl,145,148,low,HKD 80 saved,"Stable demand and low stockout risk"
wastewise,Vegetarian Set,72,61,high,HKD 160 saved,"High leftover pattern in similar scenarios"
clinicflow,Dr Chan Afternoon Slots,24,22,medium,2 idle slots recovered,"Three patients show high no-show risk"
clinicflow,Peak Waiting Time,48,31,high,17 minutes reduced,"Queue pressure falls after slot adjustment"
clinicflow,Staff Overtime,42,25,medium,17 minutes reduced,"Buffer inserted before long consultations"
hireready,Resume Fit Score,58,78,medium,20 points improved,"SQL and stakeholder wording added from evidence"
hireready,Interview Readiness,52,71,medium,19 points improved,"STAR answer became more specific"
hireready,Skill Gap Count,6,3,low,3 gaps closed,"Excel, SQL, and business writing actions prioritized"

